Model,split,Precision (Point),Recall (Point),F1,Precision (Window),Recall (Window),F1 (Window),ROC-AUC,PR-AUC,False Alarm Rate,TP,TN,FP,FN,Detection Latency (min),Avg Inference Time (ms),Throughput (readings/s),rank
Isolation Forest,test,0.898936170212766,1.0,0.9467787114845938,0.058823529411764705,1.0,0.1111111111111111,0.9998992012379178,0.999441086036843,0.019682320441982155,507,2839,57,0,0.0,0.006696914491396098,149322.47559115174,1
One-Class SVM,test,0.6558861578266494,1.0,0.7921875,0.006756756756756757,1.0,0.013422818791946308,0.9997875053123673,0.9987952851794866,0.09185082872925006,507,2630,266,0,0.0,0.08489667940373052,11779.023576003781,2
LOF,test,0.37389380530973454,1.0,0.5442834138486312,0.0036231884057971015,1.0,0.007220216606498195,0.9982074166094567,0.9904255510593857,0.29316298342531316,507,2047,849,0,0.0,0.07254490156745844,13784.56603577508,3
Elliptic Envelope,test,0.1490299823633157,1.0,0.25940138142747504,0.5,1.0,0.6666666666666666,0.7984385726895289,0.31769955694787866,0.9996546961322516,507,1,2895,0,0.0,0.0005960622868059209,1677674.2036212701,4
Rolling Z-score (Baseline),test,0.1397984886649874,0.4378698224852071,0.21193317422434368,0.1675531914893617,1.0,0.2870159453302961,0.47872533154619856,0.15483513569826773,0.4716850828727653,222,1530,1366,285,20.0,6.450188808447469e-07,1547942373.901488,5
River HST (Online),test,0.041176470588235294,0.055226824457593686,0.04717775905644482,0.002967359050445104,1.0,0.005917159763313609,0.10198927719114714,0.10257633348430145,0.2251381215468836,28,2244,652,479,2395.0,0.3456362327322684,2893.215185230276,6
LSTM Autoencoder,test,0.9882583170254403,0.9960552268244576,0.9921414538310412,0.14285714285714285,1.0,0.25,1.2259308901892888e-05,0.07849552397253969,0.0020718232044191743,505,2890,6,2,0.0,0.017747487504059318,56346.000718426934,7
